Term,fdr,es,nes,pval,lead_genes
Nucleosome Organization (GO:0034728),0.0,-0.6002112716852654,-2.4150760050826263,0.0,SUPT16H;POLE3;SOX9;H2BC21;BAZ1A;SUPT6H;H3C7;H3-4;H2BC11;H2AC25;H2BC13;UBN1;SMARCC2;BRD2;ARID2;SART3;HMGB2;CHD1;KAT6B;H2BC17;HIRA;ASF1B;RBBP4;ATRX;LIN54;H2BC14;SETD2;H3C13;H2BC15;H2BC9;ARID1A;MACROH2A1;SPTY2D1;SMARCE1;SMARCD3;SMARCD1;HAT1;NAP1L2;H3-3B;H4C7;NFE2;GRWD1;RSF1;H2BC3
Nucleosome Assembly (GO:0006334),0.0,-0.6351224072781777,-2.394799214241795,0.0,SUPT16H;POLE3;SOX9;H2BC21;BAZ1A;H3C7;H3-4;H2BC11;H2BC13;UBN1;BRD2;SART3;HMGB2;KAT6B;H2BC17;HIRA;ASF1B;RBBP4;ATRX;H2BC14;H3C13;H2BC15;H2BC9;MACROH2A1;SPTY2D1;HAT1;NAP1L2;H3-3B;H4C7;GRWD1;RSF1;H2BC3
protein-DNA Complex Assembly (GO:0065004),0.0,-0.6147223674090585,-2.29245738100301,0.0,SUPT16H;POLE3;SOX9;H2BC21;BAZ1A;H3C7;H3-4;H2BC11;H2BC13;UBN1;BRD2;SART3;HMGB2;TCF7L2;KAT6B;H2BC17;HIRA;ASF1B;RBBP4;ATRX;H2BC14;H3C13;H2BC15;H2BC9;MACROH2A1;SPTY2D1;HAT1;NAP1L2;H3-3B;H4C7;GRWD1;RSF1;HMBOX1;H2BC3;HID1;ATAD2
Protein Localization to Chromatin (GO:0071168),0.011838339121474641,-0.6333030771149425,-2.0949299619333264,0.0,LEF1;BRD3;MCM9;RAD21;H2BC11;CHMP7;BRD2;MCM8;CENPA;H1-5;MMS22L;PLK1;MACROH2A1;TONSL;LEMD2;ESR1;PPHLN1;H2AC4;WAPL
Embryonic Axis Specification (GO:0000578),0.009470671297179711,-0.7597097205582362,-2.089311913510684,0.0,PTCH1;RIPPLY2;FZD5;TBXT;SMAD2;STIL;HOXD8;WNT7A;WNT1;CXXC4;TBX3;RIPPLY1
Chromatin Organization (GO:0006325),0.010522968107977457,-0.46158573485920557,-2.0767759017127703,0.0,COMMD3-BMI1;SUPT16H;PAXIP1;CHD7;HMG20A;TADA2B;BPTF;BRD3;EZH1;POLE3;ING5;SOX9;WAC;BICRAL;SUV39H2;SETD7;H2BC21;BAZ1A;BCL7A;BRD1;NFRKB;KDM4D;INO80D;EPC1;HCFC2;H3C7;CBX3;KDM6B;UBN2;TSSK6;H3-4;REST;H2BC11;HCFC1;NR5A2;HIRIP3;PRMT6;SOX2;H2BC13;VRK1;MYC;UBN1;SMARCC2;BRD2;ARID2;SATB1;KDM4E;JMJD6;CTCF;SART3;DPEP3;PHF2;KDM7A;HMGB2;HDGFL1;PHF10;MIER1;MYSM1;PRMT3;CHD1;CHD6;EZH2;KAT6B;BAZ2A;H2BC17;M1AP;ING4;SMC6;RB1;SFPQ;SATB2;SNAI1;SRCAP;PHC1;KDM6A;ACTL6B;SF3B1;KDM5B;HIRA;ASF1B;H1-5;RBBP4;FOXP3;GATAD1;INO80B;ATRX;TOP2A;H2BC14;H3C13;H2BC15;KDM2A;H2BC9;YEATS4;ARID1A;MACROH2A1;SPTY2D1;BARD1;SMARCE1;HP1BP3;FOXA1;SMARCD3;TNP2;BCOR;SMARCD1;PSIP1;HAT1;BAZ2B;USP36;GATAD2B;MTA2;ESR1;CECR2;NAP1L2;SIRT1;SMARCAD1;H3-3B;H4C7;SRPK1;HMGN1;PCGF1;PRDM16;GRWD1;RSF1;RYBP;H2BC3;ZNF827;ZZZ3;PWWP2A;SOX15;PER2;ATAD2;MTHFR;CHD8;TET1;ACTR5
Canonical Wnt Signaling Pathway (GO:0060070),0.019166834768101798,-0.5189358450471485,-2.016082037915079,0.0,NR4A2;BCL9;WNT3;LEF1;AXIN2;FZD5;FZD10;FZD1;WNT5A;RARG;GATA3;WNT3A;TCF7L2;WNT7A;FRAT1;FRAT2;SNAI1;WNT1;LRP6;TCF7;FZD8;FZD9;WNT8A
miRNA-mediated Gene Silencing by Inhibition of Translation (GO:0035278),0.016770980422089073,-0.7136996185629507,-2.0150184769737423,0.0,TNRC6C;TRIM71;DDX6;AGO4;ZFP36;EIF4ENIF1;WTIP;TNRC6A;TNRC6B;LIMD1
Chromatin Remodeling (GO:0006338),0.01753828017996243,-0.44819931955308995,-2.000616100257015,0.0,COMMD3-BMI1;PAXIP1;CHD7;CGGBP1;TADA2B;BPTF;BRD3;EZH1;POLE3;SOX9;GLYR1;WAC;BICRAL;SUV39H2;BAZ1A;BCL7A;KMT2E;BRD1;NFRKB;SUPT6H;KDM4D;INO80D;HCFC2;H3C7;CBX3;KDM6B;USP51;MSL2;REST;UBR5;HCFC1;NR5A2;PRMT6;VRK1;MYC;SMARCC2;BRD2;ARID2;SATB1;KDM4E;JMJD6;CTCF;SIRT7;SART3;DPEP3;RNF168;PHF2;KDM7A;HDGFL1;PHF10;MIER1;MYSM1;PRMT3;CHD1;CHD6;BAZ2A;RB1;SFPQ;SATB2;CDK9;SRCAP;PHC1;KDM6A;ACTL6B;SF3B1;KDM5B;HIRA;RBBP4;FOXP3;SRPK2;GATAD1;INO80B;ATRX;TRRAP;LIN54;SETD2;KDM2A;YEATS4;ARID1A;PRIMPOL;MACROH2A1;BARD1;SMARCE1;FOXA1;SMARCD3;BCOR;SMARCD1;PSIP1;BAZ2B;GATAD2B;MTA2;ESR1;CECR2;SIRT1;NFAT5;SMARCAD1;MRE11;ZNF335
miRNA-mediated Post-Transcriptional Gene Silencing (GO:0035195),0.015784452161966184,-0.6270500108606013,-1.9986512317649747,0.0,TNRC6C;TRIM71;NCBP2;DDX6;AGO4;ZFP36;CNOT8;EIF4ENIF1;WTIP;TNRC6A;TNRC6B;LIMD1
