Term,fdr,es,nes,pval,lead_genes
Positive Regulation of Dendritic Spine Development (GO:0060999),0.0,-0.7056944143367617,-2.568124030718274,0.0,DHX36;NLGN1;RELN;CAPRIN1;DLG5;CUX2;FOXO6;CAMK2B;DBN1;FMR1;IL1RAPL1;PTPRD;ARMCX5-GPRASP2;PSEN1
Mitotic Sister Chromatid Cohesion (GO:0007064),0.0,-0.7545288364964933,-2.5122854650175217,0.0,POGZ;NIPBL;MAU2;PDS5B;SMC3;RAD21;STAG2;RB1;SGO1;HASPIN;PDS5A
Regulation of Chromosome Segregation (GO:0051983),0.0,-0.6631108994731271,-2.437496204036563,0.0,BUB1;PUM1;PUM2;NUMA1;NCAPD2;SMC4;CSNK2A2;ZNF207;SMC6;CDC6;NCAPG;RMI2;KIF2C;NCAPG2;LOC100533997
post-Golgi Vesicle-Mediated Transport (GO:0006892),0.0,-0.6178539006917241,-2.389981808419825,0.0,ARFGEF2;STEAP2;EXOC6;RAB10;VPS13A;KIF16B;EXOC2;VPS13C;RAB14;RAB3IP;STXBP5L;GOPC;MON2;EPS15;RABIF;VPS35L;VPS52;RABEP1;EXOC8;EXOC6B;SEC16A;GGA2;EXOC4;NUDT19;VTI1A;SCAMP3;AP2A1;MYO5A;DOP1B;PTGES2;SCAMP1;EXOC5;SCAMP2;LLGL2;CCDC93;VPS54;STXBP5;EXOC1;AP3D1;SORT1;OSBPL5;GGA1;COMMD1
Nuclear Migration (GO:0007097),0.0,-0.7247231800527089,-2.3858454992395894,0.0,LMNB1;TACC2;HOOK3;PCM1;TMEM201;SYNE2;FBXW11;DYNC1H1;PAFAH1B1;DOCK7
Negative Regulation of TOR Signaling (GO:0032007),0.0,-0.5052349476671193,-2.3399970314909346,0.0,USP7;TMEM127;PRKACB;CASTOR2;GSK3B;FNIP1;SESN3;GSK3A;TSC1;WDR24;MIOS;UBR1;RPS6KB1;SAMTOR;PRKAA2;MAPKAPK5;SH3BP4;PREX1;ATM;UBE3A;NPRL3;RNF152;TBK1;PDCD6;TBC1D7;PREX2;NLK;ITFG2;DEPDC5;ATXN3;PRKAA1;SIRT1;SESN1;WDR59;UBE2W;UBR2;NPRL2;UBE2D1
Regulation of Dendritic Spine Development (GO:0060998),0.0,-0.6888834287908601,-2.3368944924672337,0.0,NLGN1;TANC2;KIF1A;DLG5;GRIN3A;FOXO6;CAMK2B;FMR1;PTPRS;ARF6;PSEN1
Nucleocytoplasmic Transport (GO:0006913),0.0,-0.5482578133963779,-2.3060690974785816,0.0,NUP42;NUP214;RBM15B;NUP62;RSRC1;NUP210;NUP35;NUP98;TPR;ATXN1;ANP32A;NEMF;CDPF1;RANBP2;NUP155;UBE2I;BACH2;NUP93;NUP37;NUP88;MALT1;NUP160;CDKN1B;AHCTF1;NUP133;SEH1L;POM121;SEC13;CDAN1;NUP58;NUP188
Recombinational Repair (GO:0000725),0.0,-0.4787291491744572,-2.3019474328094245,0.0,CHD4;POGZ;EXD2;FBH1;ERCC4;RHNO1;SFPQ;GEN1;POLR1A;INIP;AP5S1;ZMYND8;RAD51;MMS22L;EPC1;RAD51D;POLR1B;WDR48;SLX4;MCM9;ZFYVE26;SLF2;SLF1;INTS3;RNF138;ATM;SMC6;TOPBP1;SWI5;POLL;RAD50;WRN;KAT5;HUS1;RAD54B;REV3L;RPA4;RMI2;XRCC5;FAN1;RNF169;XRCC2;INO80;BRCA1;AUNIP;HELQ;ZGRF1;MBTD1
Regulation of TOR Signaling (GO:0032006),0.0028943430110745286,-0.4298765837846759,-2.2505742492924212,0.0,TMEM127;GOLPH3;DYRK3;GSK3B;FNIP1;RELN;GSK3A;TSC1;RICTOR;ARAF;WDR24;UBR1;SAMTOR;PRKAA2;RRAGB;GNA12;MAPKAPK5;SH3BP4;PREX1;RPTOR;TTI1;PDCD6;PIK3CA;TBC1D7;PREX2;MLST8;ITFG2;PRKAA1;SIRT1;TBCK;FAM83D;RRAGD;UBR2;GPAT3;PIH1D1
"Positive Regulation of DNA-templated Transcription, Elongation (GO:0032786)",0.0026312209191586625,-0.5225028222718302,-2.2418092639122933,0.0,KAT7;CCNT2;CDC73;SCAF8;MED7;NCBP1;MED14;ZMYND8;MED16;ERCC6;MED20;MED6;MED25;MED28;MED4;MED21;SUPT6H;MED9;MED11;CDK12;MED23
Regulation of Small GTPase Mediated Signal Transduction (GO:0051056),0.002411952509228774,-0.46650121459131344,-2.24101433150181,0.0,AKAP13;REPS1;DLC1;MADD;SYDE2;ARHGAP26;ARHGEF11;ARHGAP32;WNK1;PLEKHG3;ARHGEF12;ARHGEF17;PLEKHG1;ARHGAP35;ARHGAP31;RACGAP1;KANK2;MCF2L;NUP62;BCR;RELN;KBTBD6;ARHGAP12;FGD1;ARHGAP19;RALGPS1;KBTBD7;MYO9A;ARHGEF10L;VAV3;KIF14;ARHGAP44;TIAM2;FAM13B;KANK1;GABARAP;ARHGAP28;DOCK7;ARHGEF9;PREX1;CGNL1;FGD4;DOCK9;GIT2;ECT2;ARHGAP11A;ARHGAP29;OBSCN;ARHGEF2;DENND4C;EPS8;PREX2;DENND3;TIAM1;TRIO;ARF6;DENND4B;KALRN;STARD13;PLEKHG4B;ARHGAP6;ARHGAP23;ARHGAP30;ARHGAP5;ARHGAP10;SYDE1;ARHGAP17;DENND4A
Double-Strand Break Repair (GO:0006302),0.00222641770082656,-0.43497074492045035,-2.21959747664619,0.0,CHD4;POGZ;EXD2;ACTR8;FBH1;TP53BP1;DNA2;ERCC4;PIAS4;SFPQ;SMARCAD1;GEN1;POLR1A;INIP;MPND;AP5S1;ZMYND8;RAD51;MMS22L;POLA1;EPC1;CSNK2A3;REC8;RAD21;RAD51D;POLR1B;WDR48;POLM;SLX4;MCM9;ZFYVE26;SLF2;CSNK2A2;PPP5C;SMARCAL1;UIMC1;SLF1;SETX;INTS3;XRCC1;RNF138;ATM;SMC6;TOPBP1;SWI5;PRKDC;POLL;EYA1;RAD50;WRN;KAT5;RNF8;HUS1;BRCC3;RAD54B;REV3L;SETMAR;H2AX;RPA4;RMI2;CYREN;XRCC5;FAN1;RNF169;XRCC2;INO80;DCLRE1A;BRCA1;AUNIP;HELQ;ZGRF1;MBTD1;PLK1;BRIP1;RAD52;PRPF19
Sister Chromatid Segregation (GO:0000819),0.0020673878650532347,-0.557117807975886,-2.1935927575995593,0.0,CHAMP1;KLHL22;KIF18A;SKA1;TOP2B;KNL1;WAPL;KNSTRN;RB1;SMC4;ZNF207;LATS1;CENPI;INO80;ZW10;NCAPG2;KIFC1;TOP2A;PLK1;PPP1CC;SPAG5;ESPL1;KIF18B;NDC80;SMC1A
Protein Localization to Chromosome (GO:0034502),0.001929562007383019,-0.5695007020609274,-2.1821096452254727,0.0,BRD3;CTCF;TP53BP1;ATRX;RHNO1;CHMP7;POLR1A;ZMYND8;MMS22L;RAD21;POLR1B;WAPL;RB1;MCM9;SLF2;SLF1;TNKS2;ESR1;TOPBP1;HASPIN;H2AX;XRCC5;TNKS
Response to Amino Acid Starvation (GO:1990928),0.0018089643819215802,-0.5479431982552327,-2.178918022310783,0.0,MAP3K5;TRIM32;LARP1;MAPK1;SESN3;WDR24;MIOS;TFEB;SAMTOR;MTOR;RRAGB;CDPF1;MAPK8;NPRL3;RNF152;IMPACT;ITFG2;DEPDC5;ATXN3;PRKD1;SESN1;WDR59;EIF2AK3;NPRL2;SH3GLB1;GCN1;SEH1L
Golgi to Plasma Membrane Transport (GO:0006893),0.0017025547123967815,-0.5592085913333328,-2.174284429401904,0.0,ARFGEF2;STEAP2;EXOC6;KIF13A;RAB10;MACF1;GOLPH3;ANK3;EXOC2;RAB3IP;STXBP5L;GOPC;VPS35L;GOLPH3L;RABEP1;EXOC8;VAMP2;EXOC6B;SEC16A;RAB11FIP3;GGA2;EXOC4;SPTBN1;NSF;EXOC5;GOLGA4;LLGL2;CCDC93;ASAP1;STXBP5;EXOC1
Negative Regulation of Telomere Maintenance (GO:0032205),0.0016079683394858491,-0.6619236822989559,-2.1578084558700463,0.0,ERCC4;MCRS1;SLX4;TNKS2;ATM;RAD50;TNKS;TERF2
Nuclear Chromosome Segregation (GO:0098813),0.0015233384268813308,-0.72943195185934,-2.1543078117066146,0.0,GMNN;SKA1;TOP2B;CENPF;LATS1;TRAPPC12;INCENP;KIF2C;TOP2A;FAM83D;KIF22;NDC80;KLHDC8B;CENPQ;SKA3;MAP1S
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071),0.0028943430110745286,-0.49113809611086184,-2.144207924651941,0.0,DPF3;ARID2;HECW2;ARID1A;ARID1B;SMARCC2;SMARCE1;PBRM1;CENPE;DLGAP5;CUL3;KNL1;CCNB1;SMARCD1;DPF2;CDC23;SMARCA4;RB1;SMARCC1;LCMT1;PRP4K;SMARCB1;CDC6;BCL7B;SMARCA2
Protein Polyubiquitination (GO:0000209),0.0027565171534043127,-0.439488051623739,-2.1204267095220346,0.0,ZNRF1;RNF41;SHPRH;PPIL2;UBE4B;HUWE1;CDC27;MARCHF6;RNF146;UBE2O;UBE2G1;FBXL7;UBE4A;MARCHF8;TAF1;BARD1;FBXO38;TRIM32;RNF5;RNF125;AREL1;UBR4;KBTBD6;MARCHF1;CUL3;MUL1;UBE2H;KBTBD7;TRIM2;WDR24;KBTBD2;FBXW11;RNF20;DTL;CDC23;FZR1;NT5C2;WWP2;FBXO7;AMBRA1;MKRN1;SPOP;NEDD4;FBXO4;TNKS2;RNF144A;CUL5;UBR5;UBE2T;BTRC;DZIP3;KLHL3;ANAPC1;UBE2R2;UBE3C;UBE2D3;NEDD4L;UBE3A;XIAP;UBE2D4;RNF216;CUL1;SASH1;RNF152;PEX12;LNPEP;UBE2D2;RNF26;RNF166;RNF187;ZFP91;ASB11;TPP2;RNF8;UBE3D;RMND5A;RC3H2;UBE2K;CTNNB1;RNF115;UBE2E2;SMURF1;TNKS;TRAF3IP2;UBE2S;MYCBP2;RNF185;BRCA1;CBFB;CDC34;RNF123;BFAR;BLMH;TRAF6;RNF14;UBE2V1;MDM2;PRPF19;AMFR;UBE2W;PRAME;RC3H1;UBR2;UBOX5;PRKN
Regulation of Transcription Initiation by RNA Polymerase II (GO:0060260),0.0026312209191586625,-0.49123626752871513,-2.115490155288147,0.0,MED12;DHX36;TAF1;TAF2;MED7;MED14;TBP;NKX2-5;FOXO1;MED16;MED20;MED6;MED25;MED28;MED4;GTF2A1;MED21;KAT8;TAF4;HEY2;TAF8;MED9;MED11;SRF;MED23
Cardiac Muscle Tissue Development (GO:0048738),0.0025168200096300246,-0.4768411345983932,-2.1147347387211766,0.0,AKAP13;SCN5A;GATA4;MYOCD;BMPR1A;SMAD4;TBX20;BMP7;NKX2-5;GATA6;NDUFV2;BMP2;MAML1;SMAD1;BMP5;GJA5;HEY2;BMPR2;ADAMTS9;ZFPM1;GJA1;SGCZ;SMAD5
Mitotic Cytokinesis (GO:0000281),0.002411952509228774,-0.5114551755568626,-2.114305357301588,0.0,EXOC6;SPAST;CKAP2;RACGAP1;EXOC2;KIF23;SNX18;KIF4A;EXOC8;ROCK2;CUL7;EXOC6B;AURKB;INCENP;ECT2;ROCK1;EXOC4;SPTBN1;ANLN;CEP55;KIF20A;CDCA8;EXOC5;SON;BBS4;EXOC1;SNX33;SNX9;PLK1;VPS72;RAB35;RTKN
Protein Localization to Centrosome (GO:0071539),0.002315474408859623,-0.6519587763929421,-2.112219870740453,0.0,CEP350;HOOK3;PCM1;CEP192;NUDCD3;STK24;GOLGB1;STIL;C2CD3;CEP78
Regulation of mRNA Catabolic Process (GO:0061013),0.00222641770082656,-0.4863671418166386,-2.1035019166593836,0.0,PUM1;YTHDF2;DHX36;CNOT1;PUM2;PIAS4;CAPRIN1;ZFP36L2;MAPKAPK2;SENP1;FMR1;ZC3H14;YTHDF1;UPF1;APEX1;CASC3;FXR2;KHSRP;YTHDF3;TTC5;ZFP36L1;CNOT7;RC3H1;CNOT8;PRR5L;RBM33;CARHSP1
Base-Excision Repair (GO:0006284),0.0021439577859811323,-0.5239520919534575,-2.1001683877812356,0.0,LRIG1;PRMT6;HUWE1;NEIL3;DNA2;POLR1A;SMUG1;ERCC6;POLR1B;XRCC1;XPA;POLL;WRN;APEX2;UNG;APEX1
Mitotic Nuclear Division (GO:0140014),0.0031010817975798523,-0.5009608436978442,-2.095047526886783,0.0,KLHL22;CLASP1;SPAST;KIF18A;NUP62;CHMP7;SKA1;KNL1;CLASP2;WAPL;KNSTRN;SMC4;ZNF207;NDE1;EPS8;CENPI;INO80;UBE2S;ZW10;NCAPG2;KIFC1;PLK1;PPP1CC;SPAG5;KIF3B;ESPL1;KIF18B;NDC80;KLHDC8B;SMC1A
Regulation of Transcription by RNA Polymerase III (GO:0006359),0.002994147942490892,-0.5964212910419016,-2.090375036994559,0.0,TENM1;DHX36;SMARCA5;ERCC6;MTOR;BAZ1B;RPTOR;ZNF76;CHD8;ICE2;POLR3G
Regulatory ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194),0.0028943430110745286,-0.608672310529755,-2.0796309582792336,0.0,TNRC6B;AGO4;NCBP3;AGO2;TNRC6A;STAU1;CNOT1;NCBP1;TNRC6C;CELF1;HELZ;AGO3;LIMD1;AJUBA
Pore Complex Assembly (GO:0046931),0.0028009771074914793,-0.6555128653737954,-2.079543350406784,0.0,AFDN;PLEKHA7;TMEM170A;NUP98;TPR;P2RX7;NUP93;TSPAN33;AHCTF1
Phosphatidylinositol-Mediated Signaling (GO:0048015),0.0027134465728823704,-0.5780192878446385,-2.054115888113312,0.0,PLCL1;PLCE1;PIK3CB;RPS6KB1;PIK3C3;PLCB1;PIK3CA;PLCG2;PLCH1;PLCG1;PIK3C2B;PLCL2;PI4KB
Golgi to Endosome Transport (GO:0006895),0.002631220919158663,-0.6937863360727038,-2.0452729887413446,0.0,VPS13A;KIF16B;WIPI1;VPS13C;RAB14;MON2;EPS15;AP2A1;DOP1B;PTGES2
