Term,fdr,es,nes,pval,lead_genes
Extracellular Matrix Organization (GO:0030198),0.0,-0.5906651512614364,-2.651642362311238,0.0,ADAM15;CYP1B1;COL8A1;COL9A1;QSOX1;POSTN;MMP2;MMP14;ADAMTS7;COL9A3;FURIN;CTSV;LOXL3;LOXL1;COL8A2;COL5A3;APP;NOXO1;COLGALT1;MIA;NID1;ITGA2;RECK;ADAMTS3;MMP3;MATN3;TGFBI;COL7A1;GREM1;PLOD2;BMP1;SPINT1;ADAMTS5;LAMC1;COL27A1;LOXL2;ADAMTS4;MMP24;COL3A1;PXDN;MMP11;COL9A2;ENG;ITGB1;ADAMTS15;COL4A1;CRTAP;TGFBR1;HAS2;ADAMTS1;COL1A2;COL1A1;COL11A1;OPTC;COL15A1;MMP23B;ADAM10;ADAMTS10;DMTF1;NCAPG;PLOD3;CTSK;P4HA3;APLP1;COL6A6;MMP25;COL14A1;PLOD1;ADAMTS12;ADAM8;COL5A1;TLL2;MMP19;SMOC2;LOX;HMCN1;MATN1;SERPINF2;ADAMTS2;MMP9;MMP21;COL12A1;COL4A2;COL16A1;MATN2;ADAMTS8;COL5A2;SH3PXD2B;HAS3;KLK5;FLRT2;MMP1;WASHC1;LUM;MATN4;P4HA1;SMOC1;ADAMTS18;COL11A2;SLC39A8;MMP10;MMP16;TMPRSS6;SERPINH1;CCDC80;GSN;COL4A5;NID2;ADAMTS16;COLGALT2;MMP17;DDR2;ADAMTS17;TGFB2;MMP28;TLL1;COL23A1;SPOCK2;ELANE
Collagen Fibril Organization (GO:0030199),0.0,-0.7039252570625675,-2.4987248071987573,0.0,CYP1B1;LOXL3;LOXL1;COL5A3;COLGALT1;ADAMTS3;GREM1;PLOD2;BMP1;LOXL2;COL3A1;PXDN;CRTAP;TGFBR1;COL1A2;COL1A1;COL11A1;OPTC;PLOD3;P4HA3;COL14A1;PLOD1;COL5A1;TLL2;LOX;SERPINF2;ADAMTS2;COL12A1;COL5A2;LUM;P4HA1;COL11A2;SERPINH1;COLGALT2;DDR2;TGFB2;TLL1
Extracellular Structure Organization (GO:0043062),0.0,-0.5645327431229469,-2.3788244560912375,0.0,TEX14;COL8A1;COL9A1;POSTN;MMP2;MMP14;ADAMTS7;COL9A3;FURIN;COL8A2;COL5A3;APP;MIA;ITGA2;RECK;ADAMTS3;MMP3;MATN3;TGFBI;COL7A1;SPINT1;ADAMTS5;COL27A1;ADAMTS4;MMP24;COL3A1;PXDN;MMP11;COL9A2;ITGB1;ADAMTS15;COL4A1;TGFBR1;ADAMTS1;COL1A2;COL11A1;COL15A1;MMP23B;ADAMTS10;DMTF1;APLP1;COL6A6;MMP25;COL14A1;ADAMTS12;MMP19;SMOC2;MATN1;ADAMTS2;MMP9;MMP21;COL4A2;COL16A1;MATN2;ADAMTS8;COL5A2;MMP1;MATN4;SMOC1;ADAMTS18;SLC39A8;MMP10;MMP16
Canonical Wnt Signaling Pathway (GO:0060070),0.0,-0.5928041694801154,-2.337465750194513,0.0,WNT3;RARG;WNT3A;SFRP4;CAV1;WNT2B;GATA3;FZD5;SNAI1;FZD10;FZD6;SMAD7;FRAT1;NR4A2;FZD4;FRAT2;SFRP5;FZD7;SFRP2;AXIN2;TCF7L1;LEF1;WNT10B;WNT9A;FZD1;WNT10A;WNT4;TCF7;WNT1
Positive Regulation of miRNA Transcription (GO:1902895),0.0,-0.6190391759213527,-2.30670804064764,0.0,MYC;FOSL1;PAX6;GATA3;APLN;EGFR;SPI1;ETS1;MYB;NR3C1;ATOH8;KLF4;IL6;TP53;PDGFB;SMAD3;GATA2;NOTCH3;NOTCH2;MYCN;FOXO3;POU2F1;FOS;HIF1A
Endoderm Formation (GO:0001706),0.0,-0.6452074757059385,-2.3059595331108143,0.0,COL8A1;MMP2;MMP14;EOMES;ITGB5;COL7A1;SOX17;COL6A1;FN1;ITGB2;SOX7;LAMB1;COL11A1;NODAL;ITGAV;HMGA2;DUSP4;MMP9;COL12A1;COL4A2;VTN
Regulation of miRNA Transcription (GO:1902893),0.0,-0.5831126241879907,-2.3033771064448154,0.0,MYC;FOSL1;PAX6;APP;GATA3;APLN;EGFR;SPI1;ETS1;BMP4;MYB;NR3C1;ATOH8;KLF4;IL6;TP53;PDGFB;SMAD3;GATA2;SOX9;TWIST1;NOTCH3;NOTCH2;MYCN;DDX5;FOXO3;POU2F1;FOS;HIF1A;NFATC4
External Encapsulating Structure Organization (GO:0045229),0.0,-0.5480663324615453,-2.2873888658746835,0.0,COL8A1;COL9A1;POSTN;MMP2;MMP14;ADAMTS7;COL9A3;FURIN;COL8A2;COL5A3;APP;MIA;ITGA2;RECK;ADAMTS3;MMP3;MATN3;TGFBI;COL7A1;SPINT1;ADAMTS5;COL27A1;ADAMTS4;MMP24;COL3A1;PXDN;MMP11;COL9A2;ITGB1;ADAMTS15;COL4A1;ADAMTS1;COL1A2;COL11A1;COL15A1;MMP23B;ADAMTS10;DMTF1;APLP1;COL6A6;MMP25;COL14A1;ADAMTS12;MMP19;SMOC2;MATN1;ADAMTS2;MMP9;MMP21;COL4A2;COL16A1;MATN2;ADAMTS8;COL5A2;MMP1;MATN4;SMOC1;ADAMTS18;SLC39A8;MMP10;MMP16;CCDC80;TGM1;COL4A5
Positive Regulation of miRNA Metabolic Process (GO:2000630),0.0,-0.6156691199572233,-2.283247986460313,0.0,ZC3H12A;MYC;FOSL1;PAX6;GATA3;APLN;EGFR;SPI1;ETS1;MYB;NR3C1;ATOH8;KLF4;IL6;TP53;PDGFB;SMAD3;GATA2;NOTCH3;NFKB1;NOTCH2;MYCN;FOXO3;POU2F1;FOS;HIF1A
Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718),0.0,-0.6135544379948851,-2.280163450052633,0.0,SDCBP;FOXC1;MDK;SNAI1;IL6;SMAD3;TNXB;EZH2;LOXL2;TWIST1;IL1B;TGFBR1;COL1A1;CRB2;TGFBR2;NOTCH1;WWTR1;AXIN2;ADAM8;LEF1;FERMT2;LRG1;RGCC;TGFB3;DAB2;GLIPR2;ZNF703
