Term,fdr,es,nes,pval,lead_genes
Extracellular Matrix Organization (GO:0030198),0.0,-0.5723252269427774,-3.320388731153932,0.0,POSTN;MMP2;COL8A2;TGFBI;COL5A3;CYP1B1;COL9A2;MMP14;ADAMTS16;SH3PXD2B;COL8A1;ENG;HMCN1;COL1A2;LOXL1;COL11A1;LOX;COL9A3;QSOX1;COL1A1;COL3A1;PXDN;GREM1;COL6A6;TGFB2;LUM;ADAMTS15;MMP11;LOXL3;COL15A1;P4HA3;MMP16;ADAM10;HAS2;ITGA2;CTSS;COL27A1;ADAMTS7;CCDC80;DDR2;TGFBR1;SMOC2;COL5A1;ADAMTS12;ADAMTS10;PLOD2;RECK;CTSK;MMP3;COL14A1;NCAPG;MMP9;COL7A1;ADAMTS5;ADAMTS2;TGFB1;ADAMTS3;OPTC;DPT;COL4A1;CREB3L1;COL9A1;FURIN;ADAMTS18;FLRT2;SERPINH1;BMP1;ADAMTS4;LRP12;ADAMTS1
Collagen Fibril Organization (GO:0030199),0.0,-0.7342271336989371,-3.048505142925597,0.0,COL5A3;CYP1B1;COL1A2;LOXL1;COL11A1;LOX;COL1A1;COL3A1;PXDN;GREM1;TGFB2;LUM;LOXL3;P4HA3;DDR2;TGFBR1;COL5A1;PLOD2;COL14A1;ADAMTS2;ADAMTS3;OPTC;DPT;SERPINH1;BMP1
Regulation of SMAD Protein Signal Transduction (GO:0060390),0.0,-0.7158846414586967,-3.007363391232633,0.0,EMILIN1;BMPER;ENG;SMAD3;BMP4;GDF6;DKK1;GREM1;TGFB2;GDF5;SMAD6;BMP6;INHBA;ATOH8;BMP2;TGFBR2;ACVRL1;TGFBR1;PMEPA1;FAM89B;GDF7;TTK;TGFB1;LDLRAD4;SMAD7;TGFB3;SMAD4;DAB2;VEPH1
Regulation of Focal Adhesion Assembly (GO:0051893),0.0,-0.6789252126238547,-2.814311539267055,0.0,FAM107A;CORO1C;EFNA5;NRP1;SFRP1;LDB2;ACVRL1;THY1;PEAK1;PTK2;RNASE1;SLC48A1;VCL;PPM1F;SRC;ACTG1;PTPRA;DLC1;FERMT2;ARHGAP6;THBS1;MYOC;ROCK2;RCC2;S100A10;LIMS1;EPHA3;APOD;MAP4K4
Regulation of Endothelial Cell Migration (GO:0010594),0.0,-0.5892164766759052,-2.729879287491687,0.0,RHOJ;SP100;BMPER;NRP2;NR2F2;CLSTN1;NRP1;ETS1;PLPP3;ATOH8;ACVRL1;FOXC2;SASH1;RIN2;SMOC2;SPARC;SCARB1;PTPRM;PTK2;RNASE1;SLIT2;ANGPT1;PRKD2;DCN;PRCP;PDCD6;EDN1;GRN;ZNF580;PTK2B;APOE;SH3BP1;PRKD1;THBS1;ADGRB1;ROCK2;ABL1;FOXP1;PRKCA
Sister Chromatid Segregation (GO:0000819),0.0,-0.6644745131022227,-2.696068297161366,0.0,ESPL1;KIFC1;KIF18B;PLK1;ZWINT;SPAG5;TOP2A;SKA1;NCAPG2;CENPI;SMC4;NUSAP1;NDC80;SKA3;RB1;KIF18A;LATS1;KNTC1;CENPK;KNL1
Positive Regulation of SMAD Protein Signal Transduction (GO:0060391),0.0,-0.7696627145182379,-2.682860891600932,0.0,BMPER;ENG;SMAD3;BMP4;GDF6;TGFB2;GDF5;BMP6;INHBA;ATOH8;BMP2;TGFBR2;ACVRL1;TGFBR1;GDF7;TTK;TGFB1;TGFB3;SMAD4;DAB2
Positive Regulation of Chemotaxis (GO:0050921),0.0,-0.6610485195700624,-2.664937504819644,0.0,PDGFRB;F2RL1;PDGFRA;NTRK3;CDH13;NRP1;F3;IL6;FGFR1;EDN2;RARRES2;SMOC2;TREM2;SEMA5A;PRKD2;TMSB4X;TGFB1;PPM1F;CCL21;P2RX4;PDGFB;ZNF580;PRKD1;THBS1;F7
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),0.0,-0.5736313383502029,-2.605950925429156,0.0,ENG;LRRC32;SMAD3;COL1A2;TSKU;COL3A1;PXDN;TGFB2;GDF5;PTPRK;ITGB5;GDF10;TGFBR2;ACVRL1;ARRB2;TGFBR1;APPL2;USP9X;PTK2;SMAD9;TGFB1;SRC;FMOD;ADAM9;FURIN;SMAD7;TGFB3;USP15;SMAD5;SMAD4;LTBP3;DAB2;FERMT2
Extracellular Matrix Assembly (GO:0085029),0.0,-0.7866249833396641,-2.59362764813652,0.0,EMILIN1;FBLN5;QSOX1;PXDN;HAS2;NTN4;LTBP4;TNXB;TGFB1;MYH11
